,Unnamed: 0,avgAnnCount,avgDeathsPerYear,TARGET_deathRate,incidenceRate,medIncome,popEst2015,povertyPercent,studyPerCap,binnedInc,MedianAge,MedianAgeMale,MedianAgeFemale,Geography,AvgHouseholdSize,PercentMarried,PctNoHS18_24,PctHS18_24,PctSomeCol18_24,PctBachDeg18_24,PctHS25_Over,PctBachDeg25_Over,PctEmployed16_Over,PctUnemployed16_Over,PctPrivateCoverage,PctPrivateCoverageAlone,PctEmpPrivCoverage,PctPublicCoverage,PctPublicCoverageAlone,PctWhite,PctBlack,PctAsian,PctOtherRace,PctMarriedHouseholds,BirthRate
0,0,1397.0,469.0,164.9,489.8,61898.0,260131.0,11.2,499.7482038,"(61494.5, 125635]",39.3,36.9,41.7,"Kitsap County, Washington",2.5,52.5,11.5,39.5,42.1,6.9,23.2,19.6,51.9,8.0,75.1,48.8,41.6,32.9,14.0,81.78052858,2.594728333,4.821857102,1.843478533,52.85607588,5.372916101
1,1,173.0,70.0,161.3,411.6,48127.0,27157.0,18.6,23.11123437,"(42724.4, 45201]",33.0,32.2,42.4,"Kittitas County, Washington",2.34,44.5,17.1,22.4,64.0,7.5,26.0,22.7,55.9,7.8,70.2,48.8,43.6,31.1,15.3,89.22850915,0.969102455,2.246232585,3.741351531,51.63756371,4.333095578
2,2,137.0,50.0,174.7,349.7,49348.0,21026.0,14.6,47.56016361,"(48021.6, 51046.4]",41.0,44.0,45.8,"Klickitat County, Washington",2.62,54.2,24.0,36.6,40.4,9.5,29.0,16.0,45.9,7.6,63.7,43.5,34.9,42.1,21.1,90.9221902,2.313187763,0.465898175,2.747358309,51.63756371,3.729487817
3,3,427.0,155.83941605839414,194.8,430.4,44243.0,75882.0,15.9,342.6372526,"(42724.4, 45201]",42.8,42.2,43.4,"Lewis County, Washington",2.52,52.7,20.2,34.95140260766503,36.1,2.5,31.6,9.3,48.3,12.1,58.4,40.3,35.0,45.3,25.0,91.74468649,2.313187763,1.16135867,1.362643183,51.02151448,4.603840773
4,4,57.0,20.802919708029197,144.4,350.1,49955.0,10321.0,12.5,0.0,"(48021.6, 51046.4]",48.3,47.8,48.9,"Lincoln County, Washington",2.34,57.8,14.9,43.0,40.0,2.0,33.4,15.0,48.2,4.8,61.6,43.9,35.1,44.0,18.8,94.10402393,0.270192029,0.665830358,0.8458260390000001,54.02745995,6.796657382
5,5,428.0,152.0,176.0,505.4,45209.0,27157.0,15.6,0.0,"(51046.4, 54545.6]",45.4,43.5,48.0,"Mason County, Washington",2.58,50.4,29.9,35.1,40.4,4.5,30.4,12.3,44.1,12.9,60.0,38.8,32.6,43.2,20.2,84.88263065,1.653205244,1.53805662,3.31463539,51.22035959,4.964476021
6,6,250.0,97.0,175.9,461.8,37782.0,41516.0,23.2,0.0,"(42724.4, 45201]",41.0,42.2,43.5,"Okanogan County, Washington",2.42,54.1,26.1,41.4,40.4,5.8,29.8,11.9,51.8,7.6,49.5,48.8,28.3,46.4,18.8,83.66344325493273,0.616955386,0.550847458,8.356721185,51.63756371,4.204317269
7,7,146.0,71.0,183.6,404.0,40189.0,20848.0,17.8,0.0,"(37413.8, 40362.7]",51.7,39.5,52.5,"Pacific County, Washington",2.24,52.4,17.1,33.9,36.5,2.2,31.6,11.3,40.9,7.6,55.8,33.1,41.2,50.9,24.1,89.40663599,0.305158634,1.889077258,2.286267861,51.63756371,5.889178996
8,8,88.0,36.0,190.5,459.4,42579.0,27157.0,22.3,0.0,"(40362.7, 42724.4]",49.3,48.4,49.8,"Pend Oreille County, Washington",2.38,55.9,34.7,39.4,40.4,1.4,32.2,12.0,39.5,10.3,65.0,37.8,41.2,48.1,18.8,91.78747687,0.185070944,0.208204812,0.616903146,53.44699778,5.587583149
9,9,4025.0,1380.0,177.8,510.9,60397.0,843954.0,13.1,427.7484318,"(54545.6, 61494.5]",35.8,34.7,37.0,"Pierce County, Washington",2.65,50.0,15.6,36.3,40.4,7.1,28.8,12.3,5.372916101,7.6,69.9,48.8,44.4,31.4,16.5,74.72966791,6.710854162,6.041472008,0.8458260390000001,50.06357342,5.533430211
